ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,estadio,mandante_placar,visitante_placar,mandante_estado,visitante_estado,ano,mes,dia_semana,resultado,total_gols
5765,2,2017-05-22,20:00,Sao Paulo,Avai,4-3-2-1,4-2-3-1,R. Ceni,C. dos Santos Oliveira,Sao Paulo,Morumbi,2,0,SP,SC,2017,5,Monday,Vitória mandante,2
5766,3,2017-05-27,16:00,Vasco,Fluminense,4-2-3-1,4-3-3,M. Mendes,A. da Silva Braga,Vasco,Estádio Vasco da Gama,3,2,RJ,RJ,2017,5,Saturday,Vitória mandante,5
5767,3,2017-05-27,19:04,Sao Paulo,Palmeiras,3-4-3,4-3-2-1,R. Ceni,A. Stival,Sao Paulo,Morumbi,2,0,SP,SP,2017,5,Saturday,Vitória mandante,2
5768,3,2017-05-27,21:00,Vitoria,Coritiba,4-2-3-1,4-3-3,D. Petkovic,E. Pacheco,Coritiba,Itaipava Arena Fonte Nova,0,1,BA,PR,2017,5,Saturday,Vitória visitante,1
5769,3,2017-05-28,11:01,Atlético-MG,Ponte Preta,4-2-3-1,5-4-1,R. Machado Marques,G. Kleina,-,Estádio Raimundo Sampaio,2,2,MG,SP,2017,5,Sunday,Empate,4
5770,3,2017-05-28,16:00,Athletico-PR,Flamengo,4-2-3-1,4-2-3-1,E. Baptista,J. Mannarino,-,Estádio Joaquim Américo Guimarães,1,1,PR,RJ,2017,5,Sunday,Empate,2
5772,3,2017-05-28,16:00,Atletico-GO,Corinthians,4-2-3-1,4-1-4-1,M. Ribeiro Cabo,F. Carille,Corinthians,Estádio do Governo do Estado de Goiás (Serra Dourada),0,1,GO,SP,2017,5,Sunday,Vitória visitante,1
5771,3,2017-05-28,16:02,Santos,Cruzeiro,4-2-3-1,4-3-2-1,D. Silvestre Júnior,L. Venker de Menezes,Cruzeiro,Estádio Urbano Caldeira,0,1,SP,MG,2017,5,Sunday,Vitória visitante,1
5773,3,2017-05-28,18:00,Sport,Gremio,4-2-3-1,3-4-3,D. Pollo Barioni,Renato Gaúcho,Sport,Adelmar da Costa Carvalho,4,3,PE,RS,2017,5,Sunday,Vitória mandante,7
5774,3,2017-05-28,19:00,Botafogo-RJ,Bahia,4-2-3-1,4-2-3-1,J. Ribeiro Ventura,A. Ferreira,Botafogo-RJ,Estádio Nilton Santos,1,0,RJ,BA,2017,5,Sunday,Vitória mandante,1
5775,3,2017-05-29,20:00,Chapecoense,Avai,4-1-4-1,4-2-3-1,V. Carmo Mancini,C. dos Santos Oliveira,Chapecoense,Arena Condá,2,0,SC,SC,2017,5,Monday,Vitória mandante,2
5776,4,2017-06-03,16:01,Coritiba,Athletico-PR,4-3-3,4-2-3-1,E. Pacheco,E. Baptista,Coritiba,Couto Pereira,1,0,PR,PR,2017,6,Saturday,Vitória mandante,1
5777,4,2017-06-03,18:00,Fluminense,Vitoria,4-3-3,4-4-1-1,A. da Silva Braga,D. Petkovic,Fluminense,Maracanã,2,1,RJ,BA,2017,6,Saturday,Vitória mandante,3
5778,4,2017-06-03,19:01,Corinthians,Santos,4-2-3-1,4-2-3-1,F. Carille,D. Silvestre Júnior,Corinthians,Neo Química Arena,2,0,SP,SP,2017,6,Saturday,Vitória mandante,2
5780,4,2017-06-04,11:00,Avai,Sport,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,V. Luxemburgo da Silva,Avai,Ressacada,1,0,SC,PE,2017,6,Sunday,Vitória mandante,1
5779,4,2017-06-04,11:01,Flamengo,Botafogo-RJ,4-2-3-1,4-1-4-1,J. Mannarino,J. Ribeiro Ventura,-,Estádio Municipal General Raulino de Oliveira,0,0,RJ,RJ,2017,6,Sunday,Empate,0
5783,4,2017-06-04,15:59,Gremio,Vasco,4-2-3-1,4-2-4-0,Renato Gaúcho,M. Mendes,Gremio,Arena do Grêmio,2,0,RS,RJ,2017,6,Sunday,Vitória mandante,2
5781,4,2017-06-04,16:00,Palmeiras,Atlético-MG,4-3-3,4-2-3-1,A. Stival,R. Machado Marques,-,Allianz Parque,0,0,SP,MG,2017,6,Sunday,Empate,0
5782,4,2017-06-04,16:04,Ponte Preta,Sao Paulo,4-2-3-1,3-4-2-1,G. Kleina,R. Ceni,Ponte Preta,Moisés Lucarelli,1,0,SP,SP,2017,6,Sunday,Vitória mandante,1
